4,1,5,2,1,1,3,1,6,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
4,5,4,2,1,1,3,4,6,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
4,7,4,2,1,1,3,3,4,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
4,5,4,2,1,1,3,3,5,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
5,6,4,2,1,3,3,2,1, Socialisme:  <a href='https://www.youtube.com/watch?v=_SQgYD3rcng'>Les idéologies socialistes au 19e</a>
3,5,4,2,1,3,3,2,6,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
6,8,1,2,1,1,3,1,1,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
6,7,3,2,1,3,3,1,3,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
6,4,3,2,1,6,3,2,6,Géopolitique :  <a href='https://www.monde-diplomatique.fr/2024/01/BREVILLE/66437'>Si les vies se valaient…</a>
5,8,5,1,1,4,2,1,1, Ecologie: <a href='https://www.ecologie.gouv.fr/energie-et-climat-changements-au-1er-janvier-2024'>Énergie et climat : ce qui change au 1er janvier 2024</a>
5,7,4,2,1,6,3,1,6, Racisme : <a href='https://www.service-public.fr/particuliers/vosdroits/F35455'>Quels sont vos droits en tant que victime ?</a>
5,5,4,2,1,2,3,1,3, Inégalités sociales : <a href='https://www.oxfamfrance.org/inegalites-et-justice-fiscale/lien-inegalites-et-pauvrete/'>Inégalités sociales et pauvreté: quel lien ?</a>
4,4,4,2,1,6,3,1,5, Génocide au Congo RD: <a href='https://www.editionsartilleur.fr/produit/holocauste-au-congo/'>Holocauste au Congo</a>
5,10,4,1,3,3,2,1,1, Ecologie: <a href='https://www.ecologie.gouv.fr/energie-et-climat-changements-au-1er-janvier-2024'>Énergie et climat : ce qui change au 1er janvier 2024</a>
5,9,4,1,1,2,2,1,1, La retraite :  <a href='https://www.vie-publique.fr/questions-reponses/272714-dix-questions-sur-les-retraites'>Dix questions sur les retraites</a>
